<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC,D,20130725,000000,10.04,10.04,10.04,10.04,10933,0
IMC,D,20130726,000000,10.04,10.073,10.04,10.073,9301,0
IMC,D,20130729,000000,9.977,10.13,9.924,10.13,9345,0
IMC,D,20130730,000000,9.977,10.04,9.977,10.04,317727,0
IMC,D,20130731,000000,9.977,10.13,9.911,10.04,103139,0
IMC,D,20130801,000000,10.008,10.105,10.008,10.105,16596,0
IMC,D,20130802,000000,10.04,10.169,10.04,10.169,28148,0
IMC,D,20130805,000000,10.298,10.33,10.233,10.298,11849,0
IMC,D,20130806,000000,10.298,10.878,10.266,10.453,15921,0
IMC,D,20130807,000000,10.484,10.484,10.04,10.323,11505,0
IMC,D,20130808,000000,10.298,10.362,10.04,10.33,6995,0
IMC,D,20130809,000000,10.105,10.362,10.105,10.362,11230,0
IMC,D,20130812,000000,10.298,10.298,10.195,10.195,10149,0
IMC,D,20130813,000000,9.886,10.298,9.1005,10.105,21273,0
IMC,D,20130814,000000,9.911,10.233,9.911,10.169,11236,0
IMC,D,20130816,000000,10.201,10.201,10.105,10.105,9889,0
IMC,D,20130819,000000,10.163,10.163,9.911,10.034,28493,0
IMC,D,20130820,000000,9.796,9.977,9.3386,9.969,13895,0
IMC,D,20130821,000000,9.674,9.911,9.654,9.911,22761,0
IMC,D,20130822,000000,9.816,9.911,9.526,9.88,13640,0
IMC,D,20130823,000000,9.654,9.718,9.3899,9.654,9383,0
IMC,D,20130826,000000,9.4608,9.718,9.3386,9.4608,5908,0
IMC,D,20130827,000000,9.3386,9.589,9.3386,9.589,11886,0
IMC,D,20130828,000000,9.4608,9.589,9.3449,9.589,10172,0
IMC,D,20130829,000000,9.526,9.558,9.4294,9.558,9293,0
IMC,D,20130830,000000,10.105,10.298,9.397,9.545,30303,0
IMC,D,20130902,000000,9.4294,9.654,9.4294,9.4923,12641,0
IMC,D,20130903,000000,9.4923,9.648,9.4608,9.589,8390,0
IMC,D,20130904,000000,9.648,9.905,9.648,9.738,10933,0
IMC,D,20130905,000000,9.4995,9.803,9.4923,9.745,8937,0
IMC,D,20130906,000000,9.526,9.731,9.526,9.654,19457,0
IMC,D,20130909,000000,9.532,9.745,9.532,9.654,8557,0
IMC,D,20130910,000000,9.667,9.88,9.667,9.816,12259,0
IMC,D,20130911,000000,9.911,9.911,9.848,9.848,7897,0
IMC,D,20130912,000000,9.977,9.977,9.88,9.911,11089,0
IMC,D,20130913,000000,9.873,9.873,9.783,9.783,1452,0
IMC,D,20130916,000000,9.79,9.848,9.783,9.783,7091,0
IMC,D,20130917,000000,9.911,9.911,9.783,9.848,6382,0
IMC,D,20130918,000000,9.661,9.88,9.654,9.783,7453,0
IMC,D,20130919,000000,9.886,9.886,9.783,9.783,1810,0
IMC,D,20130920,000000,9.621,9.621,9.526,9.621,6686,0
IMC,D,20130923,000000,9.621,9.621,9.526,9.621,8351,0
IMC,D,20130924,000000,9.648,9.648,9.506,9.526,1901,0
IMC,D,20130925,000000,9.558,9.654,9.558,9.654,7816,0
IMC,D,20130926,000000,9.783,9.783,9.718,9.783,6361,0
IMC,D,20130927,000000,9.816,9.977,9.816,9.943,7655,0
IMC,D,20130930,000000,9.969,10.073,9.848,9.943,7523,0
IMC,D,20131001,000000,9.88,9.977,9.848,9.977,4270,0
IMC,D,20131002,000000,9.816,9.816,9.654,9.686,11879,0
IMC,D,20131003,000000,9.718,9.718,9.518,9.654,4944,0
IMC,D,20131004,000000,9.589,9.969,9.589,9.751,5537,0
IMC,D,20131007,000000,9.654,9.718,9.654,9.654,8036,0
IMC,D,20131008,000000,9.848,9.848,9.558,9.589,1719,0
IMC,D,20131009,000000,9.589,9.589,9.4608,9.4608,3335,0
IMC,D,20131010,000000,9.848,9.963,9.686,9.718,11653,0
IMC,D,20131011,000000,9.654,9.718,9.654,9.693,8329,0
IMC,D,20131014,000000,9.564,9.648,9.564,9.589,8688,0
IMC,D,20131015,000000,9.577,9.577,9.4105,9.4105,57905,0
IMC,D,20131016,000000,9.4105,9.4105,9.2677,9.2677,2779,0
IMC,D,20131017,000000,9.2739,9.4608,9.2739,9.4294,2577,0
IMC,D,20131018,000000,9.4608,9.552,9.3449,9.552,3577,0
IMC,D,20131021,000000,9.577,9.577,9.3323,9.4608,8962,0
IMC,D,20131022,000000,9.4294,9.648,9.4294,9.4923,22789,0
IMC,D,20131023,000000,9.558,9.558,9.526,9.526,7160,0
IMC,D,20131024,000000,9.526,9.526,9.4294,9.4294,3551,0
IMC,D,20131025,000000,9.3323,9.4608,9.1392,9.4608,5385,0
IMC,D,20131028,000000,9.4608,9.4608,8.733,8.7663,80233,0
IMC,D,20131029,000000,9.0367,9.0367,8.7016,8.8363,7616,0
IMC,D,20131030,000000,8.8363,8.8498,8.76,8.8498,1308,0
IMC,D,20131031,000000,8.8435,8.8435,8.7663,8.8184,8996,0
IMC,D,20131104,000000,8.8184,8.8498,8.7663,8.8184,962,0
IMC,D,20131105,000000,8.8184,8.8184,8.7788,8.786,9174,0
IMC,D,20131106,000000,8.8184,8.8184,8.7788,8.786,1964,0
IMC,D,20131107,000000,8.7528,8.786,8.6243,8.6566,1983,0
IMC,D,20131108,000000,8.8112,8.8184,8.6243,8.7465,2779,0
IMC,D,20131112,000000,8.8498,8.8498,8.7528,8.8184,5177,0
IMC,D,20131113,000000,8.7276,8.8184,8.6944,8.8184,1978,0
IMC,D,20131114,000000,8.8498,8.8813,8.7663,8.8229,3320,0
IMC,D,20131115,000000,9.0044,9.1068,8.9199,9.0098,4984,0
IMC,D,20131118,000000,9.0179,9.4483,9.0098,9.0098,57476,0
IMC,D,20131119,000000,9.0179,9.1068,8.9594,8.9594,18283,0
IMC,D,20131120,000000,8.9648,9.0754,8.9648,9.0754,4174,0
IMC,D,20131121,000000,9.0098,9.043,8.972,8.972,3547,0
IMC,D,20131122,000000,9.0817,9.1068,8.9648,8.9846,2229,0
IMC,D,20131125,000000,8.972,9.1068,8.972,9.043,2596,0
IMC,D,20131126,000000,9.0754,9.1068,9.043,9.043,3659,0
IMC,D,20131127,000000,8.972,9.0098,8.9532,8.9532,1440,0
IMC,D,20131128,000000,8.9594,9.0367,8.9532,8.9594,1793,0
IMC,D,20131129,000000,8.9594,9.0044,8.8498,9.0044,9709,0
IMC,D,20131202,000000,8.8813,8.8813,8.591,8.591,8317,0
IMC,D,20131203,000000,8.6045,8.6881,8.5857,8.5857,6006,0
IMC,D,20131204,000000,8.591,8.591,8.0769,8.1803,17799,0
IMC,D,20131205,000000,8.1803,8.3662,8.1737,8.3662,2374,0
IMC,D,20131206,000000,8.3662,8.3662,8.3029,8.3596,2592,0
IMC,D,20131209,000000,8.1162,8.3662,8.1162,8.1737,38362,0
IMC,D,20131210,000000,8.2378,8.2704,8.1737,8.2704,933,0
IMC,D,20131211,000000,8.277,8.277,8.2378,8.2704,2524,0
IMC,D,20131212,000000,8.2704,8.322,8.187,8.187,2770,0
IMC,D,20131213,000000,8.2062,8.2378,8.0453,8.187,3943,0
IMC,D,20131216,000000,8.212,8.212,8.0769,8.187,3502,0
IMC,D,20131217,000000,8.2378,8.2378,8.0453,8.0453,2727,0
IMC,D,20131218,000000,7.8841,7.8841,7.8202,7.8202,2645,0
IMC,D,20131219,000000,7.8202,8.0069,7.7036,8.0069,2601,0
IMC,D,20131220,000000,7.7237,7.7237,7.4208,7.5047,12915,0
IMC,D,20131223,000000,7.717,7.717,7.717,7.717,283,0
IMC,D,20131227,000000,7.7237,7.7297,7.7237,7.7237,534,0
IMC,D,20131230,000000,7.7883,7.9485,7.7237,7.8202,1590,0
IMC,D,20140102,000000,8.5982,8.5982,7.7556,8.1228,4714,0
IMC,D,20140103,000000,7.8581,8.212,7.8581,8.212,1712,0
IMC,D,20140107,000000,7.9235,8.2062,7.9235,8.1419,431,0
IMC,D,20140108,000000,8.212,8.212,8.0519,8.212,280,0
IMC,D,20140109,000000,8.212,8.212,8.0453,8.0453,23409,0
IMC,D,20140110,000000,7.9869,8.0519,7.9552,8.0319,12324,0
IMC,D,20140113,000000,8.1737,8.1737,8.1737,8.1737,545,0
IMC,D,20140114,000000,7.8522,8.1094,7.8202,8.1094,9293,0
IMC,D,20140115,000000,7.8261,8.2062,7.8261,8.2062,5805,0
IMC,D,20140116,000000,8.1419,8.2062,7.9552,8.2062,4898,0
IMC,D,20140117,000000,8.2378,8.3346,8.1419,8.2187,10842,0
IMC,D,20140120,000000,8.0769,8.1162,7.8454,7.8841,5084,0
IMC,D,20140121,000000,7.8522,8.0069,7.6977,7.6977,5899,0
IMC,D,20140122,000000,7.7556,7.7556,7.6139,7.6139,1993,0
IMC,D,20140123,000000,7.7237,7.7237,7.1438,7.1438,5769,0
IMC,D,20140124,000000,7.1505,7.6397,7.08,7.2084,5662,0
IMC,D,20140127,000000,7.6331,7.6331,7.2084,7.3302,27143,0
IMC,D,20140128,000000,7.4015,7.4208,7.2663,7.3302,23509,0
IMC,D,20140129,000000,7.4334,7.4854,7.273,7.273,15039,0
IMC,D,20140130,000000,7.2856,7.2856,6.5908,6.7581,21256,0
IMC,D,20140131,000000,6.7581,6.7581,6.436,6.468,14874,0
IMC,D,20140203,000000,6.4294,6.5908,6.198,6.3847,19918,0
IMC,D,20140204,000000,6.5133,6.5133,5.9341,5.9341,25746,0
IMC,D,20140205,000000,5.8633,5.9791,5.5094,5.5415,120110,0
IMC,D,20140206,000000,5.5479,5.7796,5.5028,5.7282,46154,0
IMC,D,20140207,000000,5.7924,5.7924,5.5415,5.5994,31368,0
IMC,D,20140210,000000,5.7732,5.7732,5.5351,5.5351,37449,0
IMC,D,20140211,000000,5.5994,5.6509,5.1617,5.342,24282,0
IMC,D,20140212,000000,5.342,5.4706,5.0588,5.1232,134435,0
IMC,D,20140213,000000,5.1103,5.1489,4.9558,5.0652,24991,0
IMC,D,20140214,000000,5.0202,5.0202,4.9365,5.0137,25412,0
IMC,D,20140217,000000,5.0845,5.7216,5.0845,5.5994,465389,0
IMC,D,20140218,000000,5.8505,6.2109,5.8054,5.8247,186598,0
IMC,D,20140219,000000,5.4706,5.6894,5.387,5.4771,162397,0
IMC,D,20140220,000000,5.5351,5.5608,5.2905,5.5222,145347,0
