<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASB,D,20190911,000000,1.8732,1.8966,1.8576,1.8966,52775,0
ASB,D,20190912,000000,1.8732,1.9006,1.8732,1.8888,9668,0
ASB,D,20190913,000000,1.8732,1.9122,1.8653,1.9122,79952,0
ASB,D,20190916,000000,1.9044,1.9083,1.881,1.8966,12157,0
ASB,D,20190917,000000,1.8888,1.8966,1.8693,1.8966,35224,0
ASB,D,20190918,000000,1.8966,1.9006,1.8732,1.8966,22657,0
ASB,D,20190919,000000,1.8966,1.9044,1.8888,1.8966,13096,0
ASB,D,20190920,000000,1.8888,1.9044,1.8732,1.8888,36942,0
ASB,D,20190923,000000,1.881,1.9006,1.8576,1.8653,71611,0
ASB,D,20190924,000000,1.881,1.8966,1.8537,1.881,27578,0
ASB,D,20190925,000000,1.881,1.881,1.8615,1.8615,6909,0
ASB,D,20190926,000000,1.8732,1.8849,1.8458,1.8849,24377,0
ASB,D,20190927,000000,1.8537,1.8732,1.8419,1.8458,24957,0
ASB,D,20190930,000000,1.8693,1.8849,1.8693,1.8849,12000,0
ASB,D,20191001,000000,1.8849,1.8849,1.8498,1.8498,10352,0
ASB,D,20191002,000000,1.8693,1.8693,1.7717,1.8186,53095,0
ASB,D,20191003,000000,1.8107,1.8186,1.7874,1.8186,17516,0
ASB,D,20191004,000000,1.8186,1.8263,1.7521,1.8069,25608,0
ASB,D,20191007,000000,1.795,1.881,1.795,1.8693,20881,0
ASB,D,20191008,000000,1.8615,1.8615,1.8069,1.8381,10793,0
ASB,D,20191009,000000,1.8537,1.8537,1.803,1.8419,11585,0
ASB,D,20191010,000000,1.8458,1.8458,1.795,1.8263,13602,0
ASB,D,20191011,000000,1.8107,1.8342,1.799,1.8263,10654,0
ASB,D,20191014,000000,1.8186,1.8224,1.7795,1.799,38350,0
ASB,D,20191015,000000,1.799,1.8186,1.799,1.8069,14119,0
ASB,D,20191016,000000,1.8966,1.9239,1.8342,1.8888,300449,0
ASB,D,20191017,000000,1.9356,1.9356,1.8653,1.9044,61366,0
ASB,D,20191018,000000,1.8888,1.9044,1.8732,1.8888,40245,0
ASB,D,20191021,000000,1.9044,1.9122,1.881,1.8888,103432,0
ASB,D,20191022,000000,1.9044,1.9122,1.881,1.8888,52865,0
ASB,D,20191023,000000,1.8888,2.0527,1.8888,2.0487,558433,0
ASB,D,20191024,000000,2.0293,2.0449,1.9903,2.0411,205922,0
ASB,D,20191025,000000,2.0332,2.0487,1.9512,1.9591,170407,0
ASB,D,20191028,000000,1.9903,2.0137,1.9279,1.9395,105036,0
ASB,D,20191029,000000,1.9551,1.9863,1.9395,1.9863,47760,0
ASB,D,20191030,000000,1.9824,2.0137,1.9474,1.9942,79054,0
ASB,D,20191031,000000,1.9981,1.9981,1.963,1.9747,30680,0
ASB,D,20191104,000000,1.9824,2.0449,1.9591,2.0215,100899,0
ASB,D,20191105,000000,2.0411,2.0411,1.9903,2.0293,86619,0
ASB,D,20191106,000000,2.0917,2.2869,2.0917,2.2204,919786,0
ASB,D,20191107,000000,2.2244,2.2635,2.1542,2.1815,397663,0
ASB,D,20191108,000000,2.1775,2.1775,2.123,2.1386,188685,0
ASB,D,20191112,000000,2.1698,2.1932,2.1464,2.1855,218186,0
ASB,D,20191113,000000,2.1855,2.1855,2.1464,2.1464,112813,0
ASB,D,20191114,000000,2.1464,2.1815,2.1307,2.1581,57207,0
ASB,D,20191115,000000,2.1581,2.1737,2.1386,2.1386,118847,0
ASB,D,20191118,000000,2.2635,2.4703,2.2478,2.3883,1281985,0
ASB,D,20191119,000000,2.3805,2.3883,2.3103,2.322,360786,0
ASB,D,20191120,000000,2.326,2.3648,2.322,2.3415,181831,0
ASB,D,20191121,000000,2.3805,2.5678,2.3805,2.4196,927796,0
ASB,D,20191122,000000,2.4234,2.4508,2.3883,2.4508,266810,0
ASB,D,20191125,000000,2.4977,2.6069,2.4977,2.5601,530140,0
ASB,D,20191126,000000,2.5406,2.6147,2.5366,2.5444,227525,0
ASB,D,20191127,000000,2.5601,2.5601,2.521,2.5366,91275,0
ASB,D,20191128,000000,2.5366,2.6303,2.521,2.521,397379,0
ASB,D,20191129,000000,2.5366,2.5483,2.4586,2.5406,139458,0
ASB,D,20191202,000000,2.5601,2.5913,2.521,2.521,195307,0
ASB,D,20191203,000000,2.5289,2.5444,2.4274,2.4586,386892,0
ASB,D,20191204,000000,2.4664,2.5366,2.4664,2.5093,381170,0
ASB,D,20191205,000000,2.5289,2.5522,2.4664,2.482,454150,0
ASB,D,20191206,000000,2.562,2.625,2.5156,2.6166,238005,0
ASB,D,20191209,000000,2.6166,2.7049,2.5998,2.6629,124753,0
ASB,D,20191210,000000,2.6797,2.6923,2.5745,2.6082,195554,0
ASB,D,20191211,000000,2.6082,2.6293,2.5661,2.6082,90386,0
ASB,D,20191212,000000,2.6082,2.6755,2.5998,2.667,92123,0
