<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARH,D,20171215,000000,10.722,11.081,10.722,11.081,8221,0
ARH,D,20171218,000000,11.095,11.331,11.095,11.305,4670,0
ARH,D,20171219,000000,10.926,11.23,10.926,11.23,3101,0
ARH,D,20171220,000000,10.858,11.317,10.858,11.169,3875,0
ARH,D,20171221,000000,10.933,11.142,10.933,10.966,2353,0
ARH,D,20171222,000000,10.966,11.148,10.966,11.148,1465,0
ARH,D,20171227,000000,10.905,10.905,10.845,10.845,851,0
ARH,D,20171228,000000,10.823,11.027,10.526,11.027,1180,0
ARH,D,20171229,000000,10.777,11.095,10.777,11.095,1881,0
ARH,D,20180103,000000,10.959,11.095,10.823,11.095,1788,0
ARH,D,20180104,000000,10.959,10.959,10.757,10.757,19096,0
ARH,D,20180105,000000,10.757,10.823,10.757,10.823,2171,0
ARH,D,20180108,000000,10.823,10.823,10.722,10.823,80460,0
ARH,D,20180109,000000,10.959,10.959,10.823,10.823,6465,0
ARH,D,20180110,000000,10.823,10.823,10.823,10.823,4365,0
ARH,D,20180111,000000,10.823,10.993,10.823,10.993,184,0
ARH,D,20180112,000000,10.993,10.993,10.757,10.959,3710,0
ARH,D,20180115,000000,10.959,10.959,10.891,10.891,5452,0
ARH,D,20180116,000000,10.926,10.959,10.722,10.959,4643,0
ARH,D,20180117,000000,10.823,10.959,10.757,10.757,6600,0
ARH,D,20180118,000000,10.757,10.757,10.654,10.689,6223,0
ARH,D,20180119,000000,10.689,10.689,10.621,10.621,4874,0
ARH,D,20180122,000000,10.689,10.689,10.52,10.554,1527,0
ARH,D,20180123,000000,10.554,10.654,10.554,10.654,652,0
ARH,D,20180124,000000,10.52,10.689,10.485,10.654,600,0
ARH,D,20180125,000000,10.621,10.621,10.554,10.621,615,0
ARH,D,20180126,000000,10.689,10.689,10.621,10.689,19311,0
ARH,D,20180129,000000,10.689,10.689,10.654,10.689,7566,0
ARH,D,20180130,000000,10.689,10.689,10.52,10.52,12560,0
ARH,D,20180131,000000,10.485,10.485,10.147,10.485,87061,0
ARH,D,20180201,000000,10.485,10.485,10.485,10.485,251,0
ARH,D,20180202,000000,10.485,10.485,10.35,10.35,4657,0
