<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20190531,000000,2.6707,2.6707,2.562,2.571,5735,0
IFI,D,20190603,000000,2.58,2.6254,2.562,2.562,3931,0
IFI,D,20190604,000000,2.571,2.571,2.562,2.562,441,0
IFI,D,20190605,000000,2.571,2.571,2.5258,2.5258,1573,0
IFI,D,20190606,000000,2.6074,2.6254,2.5258,2.5348,5285,0
IFI,D,20190607,000000,2.5348,2.5348,2.4986,2.5258,4657,0
IFI,D,20190610,000000,2.5258,2.5258,2.4716,2.4716,3063,0
IFI,D,20190611,000000,2.4716,2.5981,2.4082,2.5981,6268,0
IFI,D,20190612,000000,2.5981,2.5981,2.5348,2.58,3570,0
IFI,D,20190613,000000,2.5258,2.5348,2.4625,2.4894,11920,0
IFI,D,20190614,000000,2.5169,2.5169,2.5077,2.5169,813,0
IFI,D,20190617,000000,2.5348,2.5348,2.4716,2.5258,2342,0
IFI,D,20190618,000000,2.5169,2.5169,2.4986,2.4986,2053,0
IFI,D,20190619,000000,2.5077,2.618,2.5077,2.618,1858,0
IFI,D,20190621,000000,2.563,2.563,2.4435,2.4804,7237,0
IFI,D,20190624,000000,2.4804,2.4804,2.4252,2.4252,4899,0
IFI,D,20190625,000000,2.4804,2.4804,2.4252,2.4804,9799,0
IFI,D,20190626,000000,2.4804,2.4804,2.4804,2.4804,104,0
IFI,D,20190627,000000,2.4526,2.4526,2.4526,2.4526,4463,0
IFI,D,20190628,000000,2.4343,2.4712,2.4343,2.4712,363,0
IFI,D,20190701,000000,2.4712,2.4712,2.4712,2.4712,109,0
IFI,D,20190702,000000,2.563,2.563,2.4804,2.4804,1405,0
IFI,D,20190703,000000,2.5354,2.563,2.4804,2.563,3436,0
IFI,D,20190704,000000,2.563,2.563,2.4619,2.563,9084,0
IFI,D,20190705,000000,2.5354,2.5354,2.4804,2.4804,4834,0
IFI,D,20190708,000000,2.5172,2.5354,2.4804,2.4986,3632,0
IFI,D,20190709,000000,2.4712,2.5446,2.4435,2.5446,3553,0
IFI,D,20190710,000000,2.5446,2.5446,2.5446,2.5446,54,0
IFI,D,20190711,000000,2.5354,2.5537,2.5354,2.5537,1478,0
IFI,D,20190712,000000,2.5446,2.5446,2.5354,2.5354,2130,0
IFI,D,20190715,000000,2.5354,2.5354,2.5261,2.5261,455,0
IFI,D,20190716,000000,2.5261,2.5537,2.5261,2.5537,26053,0
IFI,D,20190717,000000,2.5354,2.563,2.5354,2.5537,2076,0
IFI,D,20190718,000000,2.5537,2.563,2.5537,2.563,3286,0
IFI,D,20190719,000000,2.563,2.5722,2.563,2.5722,679,0
IFI,D,20190722,000000,2.5722,2.5722,2.5077,2.5077,3521,0
IFI,D,20190723,000000,2.5354,2.5446,2.5077,2.5172,5770,0
IFI,D,20190724,000000,2.5172,2.5906,2.5172,2.5354,12401,0
IFI,D,20190725,000000,2.5446,2.5446,2.5261,2.5261,3481,0
IFI,D,20190726,000000,2.5077,2.5261,2.5077,2.5261,2724,0
IFI,D,20190729,000000,2.5354,2.5446,2.5261,2.5446,394,0
IFI,D,20190730,000000,2.5722,2.6365,2.5722,2.6365,1726,0
IFI,D,20190731,000000,2.6365,2.6365,2.6273,2.6273,925,0
IFI,D,20190801,000000,2.5996,2.5996,2.5722,2.5722,19708,0
IFI,D,20190802,000000,2.6365,2.6641,2.618,2.6273,7495,0
IFI,D,20190805,000000,2.6456,2.6456,2.5996,2.6273,1123,0
IFI,D,20190806,000000,2.6273,2.7742,2.6273,2.7742,20582,0
IFI,D,20190807,000000,2.7742,2.8109,2.7742,2.7742,2761,0
IFI,D,20190808,000000,2.7742,2.8017,2.7742,2.8017,968,0
IFI,D,20190809,000000,2.7742,2.8478,2.7742,2.8478,1987,0
IFI,D,20190812,000000,2.7742,2.8201,2.7742,2.7742,2069,0
IFI,D,20190813,000000,2.8201,2.8201,2.8109,2.8109,496,0
IFI,D,20190814,000000,2.8109,2.8296,2.8017,2.8017,1351,0
IFI,D,20190816,000000,2.8296,2.8296,2.8296,2.8296,109,0
IFI,D,20190819,000000,2.7926,2.7926,2.7926,2.7926,398,0
IFI,D,20190820,000000,2.7926,2.7926,2.7466,2.7466,548,0
IFI,D,20190822,000000,2.7375,2.7926,2.7375,2.7926,230,0
IFI,D,20190823,000000,2.7926,2.7926,2.7742,2.7742,1587,0
IFI,D,20190826,000000,2.7926,2.8017,2.7835,2.8017,648,0
IFI,D,20190827,000000,2.6732,2.7193,2.6732,2.7193,1072,0
IFI,D,20190828,000000,2.7283,2.7283,2.7193,2.7193,218,0
IFI,D,20190829,000000,2.7193,2.7193,2.7193,2.7193,109,0
IFI,D,20190830,000000,2.7193,2.7283,2.7193,2.7283,734,0
IFI,D,20190902,000000,2.7375,2.7375,2.6915,2.6915,5272,0
IFI,D,20190903,000000,2.7375,2.7375,2.7375,2.7375,66,0
IFI,D,20190904,000000,2.7375,2.7375,2.7375,2.7375,174,0
IFI,D,20190905,000000,2.7466,2.7926,2.7466,2.7926,361,0
IFI,D,20190906,000000,2.7926,2.7926,2.7926,2.7926,161,0
IFI,D,20190909,000000,2.7926,2.8478,2.7926,2.8478,1392,0
IFI,D,20190910,000000,2.8386,2.8386,2.7559,2.7926,3951,0
IFI,D,20190911,000000,2.7926,2.8109,2.7926,2.8109,589,0
IFI,D,20190912,000000,2.8109,2.8296,2.8017,2.8296,3138,0
IFI,D,20190913,000000,2.8296,2.8661,2.8296,2.8296,7177,0
IFI,D,20190916,000000,2.8017,2.8478,2.8017,2.8478,442,0
IFI,D,20190917,000000,2.8478,2.8478,2.8201,2.8201,997,0
IFI,D,20190918,000000,2.8478,3.2152,2.8017,2.9856,14645,0
IFI,D,20190919,000000,2.9488,2.9764,2.9397,2.9764,5834,0
IFI,D,20190920,000000,3.0322,3.0414,2.995,2.995,4101,0
IFI,D,20190923,000000,2.9856,2.995,2.9856,2.995,2689,0
IFI,D,20190924,000000,2.9764,2.9764,2.9112,2.9112,1862,0
